primaryName,count,mean_rat
Elizabeth Tabish,1,9.9
Laura Doddington,1,9.9
Noah James,1,9.9
Daniel Keith,1,9.9
Kathy Searle,1,9.9
Douggie McMeekin,1,9.9
Björn Thors,1,9.9
Nick Shakoour,1,9.9
Lara Silva,1,9.9
Naomi McDonald,1,9.9
Young M.A,1,9.9
Tony Triano,1,9.9
Shahar Isaac,1,9.9
James Patrick Nelson,1,9.9
Paras Patel,1,9.9
Jozsef Fodor,1,9.9
Giannis Tzanatos,1,9.8
Dinnerbone,1,9.8
Mark Noble,1,9.8
Bernie,1,9.8
Joergen,1,9.8
Feigi,1,9.8
Water Sheep,1,9.8
Tomohisa Hashizume,2,9.75
Takumi Asahina,1,9.7
Daichi Endo,1,9.7
Hiroaki Okuda,1,9.7
Michael A.L. Fox,1,9.7
Roger Clark,1,9.7
Seiran Kobayashi,1,9.7
Vaishnavi Sharma,1,9.7
Ryan Letourneau,1,9.7
Benjamin Byron Davis,1,9.7
Rosie Sheehy,1,9.7
Mike Ireland,1,9.7
Cali Elizabeth Moore,1,9.7
Nadia Clifford,1,9.7
Mike Deaves,1,9.7
Yureni Noshika,1,9.6
Dhinal Asanga,1,9.6
Jun Mizusawa,1,9.6
Joanne Crawford,1,9.6
Richard Bucher,1,9.6
Radiohead,1,9.6
Senaka Titus Anthony,1,9.6
Rob Wiethoff,2,9.6
Andrew Pulle,1,9.6
Parakrama Jayasinghe,1,9.6
Paul Thornley,1,9.6
Kalana Gunasekara,1,9.6
Thumindu Dodantenne,1,9.6
Maggie Baird,1,9.6
Nishantha Priyadarshana,1,9.6
Thilanga Deshapriya,1,9.6
Julia Bache-Wiig,1,9.6
Udara Abeysundara,1,9.6
Shawn Fonteno,1,9.6
Sergejus Ivanovas,1,9.5
Dimitri Mendoza,1,9.5
Vaishali Kasaravalli,1,9.5
Artemis Holdenberry,1,9.5
Nalini Murthy,1,9.5
Marie Wilson,1,9.5
Robert E. Lee,1,9.5
Sandra Borgmann,1,9.5
Ryan Haywood,1,9.5
Lake Markham,1,9.5
Sophia Marzocchi,1,9.5
Tatjana Beljakova,1,9.5
Mason Jewes,1,9.5
Maja Cuckovic,1,9.5
Zoran Radmilovic,1,9.5
Phineas Terrontino,1,9.5
Kristian Denver Diaz,1,9.5
Adam Burton,1,9.5
Helena Pieske,1,9.5
Faraz Inam,1,9.5
Jayanth,1,9.5
Gareth Calway,1,9.5
Raghuram Sitaram,1,9.5
Bory Caxter,1,9.5
Jeremy Dooley,1,9.5
Elisabeth Rioux,1,9.5
Faraz Khan,1,9.5
Shahnaz Khwaja,1,9.5
Qasim Khan,1,9.5
Richard S. Castellano,1,9.5
Suhashini Adarkar,1,9.5
Rohit Srinath,1,9.5
Heather Halley,2,9.5
Logan Gervais,1,9.5
Aliser Ramos,1,9.5
Spider Madison,1,9.5
Abdullah Mehmood,1,9.5
Wiqar Ahmed,1,9.5
Carlotta von Falkenhayn,1,9.5
Rana Shahbaz Khan,1,9.5
Aarshid Kazmi,1,9.5
Rafar Moeen,1,9.5
Malik Ata Muhammad Khan,1,9.5
Kriss Dillon,1,9.5
Master Manjunath,1,9.5
Patrick McHale,1,9.5
Milan 'Caci' Mihailovic,1,9.5
Jack Pattillo,1,9.5
Chetan,1,9.5
Joy Regullano,1,9.5
Suzetta Miñet,2,9.5
Bloody Hairy,1,9.5
Brett Allen,1,9.5
Zeeq,1,9.5
Doug Cockle,6,9.416666666666666
Shiori Mikami,7,9.414285714285715
Sofia Park,1,9.4
Irina Kompa,1,9.4
Young Maylay,1,9.4
Yolanda 'Yo-Yo' Whittaker,1,9.4
Anita Moreno,1,9.4
Shaukat Akbar,1,9.4
Goomba,1,9.4
Dorothy Dent,1,9.4
Suchanda,1,9.4
Monica Horgan,1,9.4
Adrine Boydjian,1,9.4
Guy Cihi,1,9.4
Jakey Breckenridge,1,9.4
Brock Lee,1,9.4
Alina Lopatuk,1,9.4
Ios Alex,1,9.4
Rosy Samad,1,9.4
Silvia Campos,1,9.4
Tomoko Hirao,1,9.4
Joe Micheals,1,9.4
Pookie,1,9.4
Kôji Takeda,1,9.4
Marisha Ray,1,9.4
Noboru Yamaguchi,1,9.4
Jennifer Dong,1,9.4
Gary Anthony Sturgis,1,9.4
Peep,1,9.4
Brad Abrell,2,9.399999999999999
Akari Kitô,2,9.350000000000001
Leilani Jones,2,9.350000000000001
Aude Sedjar,3,9.333333333333334
Brandon J. Dirden,6,9.316666666666668
Hanna Albright,1,9.3
Craig Arnold,1,9.3
Rick Adler,1,9.3
Ben Anderson,1,9.3
Barbara Whitlow,1,9.3
Carey Cannon,1,9.3
Shivam Kakar,1,9.3
Maddie Rice,1,9.3
Kunal Aneja,1,9.3
Jana Camp,1,9.3
Tim McAdams,1,9.3
Sunakshi Grover,1,9.3
Sachin Kathuria,1,9.3
Risa Uchida,1,9.3
Niles Stewart,1,9.3
Stuart Charno,1,9.3
Jean Charney,1,9.3
Nik Howden,1,9.3
Jonathan Fahn,1,9.3
Floyd 'Red Crow' Westerman,1,9.3
Tanya Maniktala,1,9.3
Kimberly Forsythe,1,9.3
Michael Denk,1,9.3
Gloria Winship Ayon,1,9.3
Cansin Senel,1,9.3
Hiroshi Fujioka,1,9.3
Neelu Dogra,1,9.3
Bob Hevelone,1,9.3
Will F. Young,1,9.3
Ray Barnes,1,9.3
Michael Alspaugh,1,9.3
Shane Ayon,1,9.3
John Kim,1,9.3
Corey Marshall,1,9.3
Merve Polat,1,9.3
Kimberly DiPersia,1,9.3
Michael Andolini,1,9.3
Anushka Sharma,1,9.3
Bill Grant,1,9.3
Audrey Boustani,1,9.3
